TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,LATITUDE,LONGITUDE,SUBWAY_STATION,DISTANCE,KINDERGARTEN,SCHOOL,COLLEGE,CAFE,BAR,PARKING,SUPERMARKET,ZIP_CODE
Condo,315000.0,2,2,1400.0,New York,Manhattan,East 55th Street,Regis Residence,40.761255,-73.9744834,6th Avenue & 56th Street at Southeast Corner,361.44125331505006,6.0,42.0,6.0,353.0,122.0,57.0,54.0,10022
Condo,522000.0,7,2,2273.3247172,New York,New York County,New York,West 57th Street,40.7663935,-73.9809909,6th Avenue & 57th Street at Southwest Corner,384.8298871920225,3.0,41.0,4.0,327.0,120.0,44.0,46.0,10019
Condo,69000.0,3,1,445.0,New York,New York County,New York,East 55th Street,40.7613979,-73.9746128,6th Avenue & 56th Street at Southeast Corner,342.8442274730939,6.0,41.0,6.0,355.0,122.0,57.0,54.0,10022
House,690000.0,5,2,2133.1247172000003,New York,Kings County,Brooklyn,Park Place,40.6743632,-73.9587248,Eastern Parkway - Brooklyn Museum,518.6489711630844,33.0,32.0,1.0,142.0,82.0,5.0,48.0,11238
Condo,899500.0,2,2,2184.207862,New York County,New York,Manhattan,157,40.809448,-73.946777,Lenox Avenue & 125th Street at Northwest Corner,192.79669675427755,4.0,68.0,2.0,65.0,19.0,2.0,38.0,10027
House,1028400.0,4,3,2150.4,New York,Richmond County,Staten Island,Benedict Road,40.5950017,-74.1064235,Bay Parkway & 66 Street,10712.489551610694,0.0,1.0,0.0,3.0,0.0,0.0,4.0,10304
Co-op,265000.0,1,1,750.0,The Bronx,East Bronx,Morrison Avenue,Parking lot,40.8215857,-73.8740892,Southern Boulevard (exit only),1478.5913054315397,1.0,28.0,0.0,3.0,1.0,4.0,7.0,10473
Co-op,440000.0,2,1,978.0,Kings County,Brooklyn,Midwood,1350,40.6157378,-73.9696944,Bay Parkway & 66 Street,1090.9874825119182,0.0,26.0,1.0,13.0,0.0,3.0,18.0,11230
Co-op,375000.0,2,1,850.0,Bronx County,The Bronx,Concourse Village,800,40.8248699,-73.9229829,Lenox Avenue & 145th Street at Northeast Corner,1190.3499934596912,0.0,76.0,1.0,7.0,5.0,2.0,17.0,10451
Co-op,259000.0,3,1,2184.207862,Queens County,Queens,Flushing,34-41,40.7531191,-73.8818757,Elmhurst Avenue,1249.069554802918,1.0,6.0,0.0,23.0,19.0,5.0,40.0,11372
Co-op,430000.0,2,2,2184.207862,Queens County,Queens,Elmhurst,91-15,40.7438639,-73.8745722,Elmhurst Avenue,621.9956493949385,2.0,10.0,0.0,29.0,17.0,7.0,44.0,11373
Co-op,895000.0,3,1,2184.207862,New York County,New York,Manhattan,61,40.7382981,-74.0058899,Broadway & 23rd Street at Southeast Corner,1455.129121184548,6.0,31.0,6.0,308.0,208.0,16.0,53.0,10014
Townhouse,975000.0,3,2,1734.0,New York,Queens County,Queens,Hobart Street,40.7607676,-73.9056672,Platform A,1599.0284914092829,0.0,9.0,0.0,90.0,71.0,0.0,39.0,11377
Co-op,199000.0,3,1,325.0,Kings County,Brooklyn,Fort Hamilton,9430,40.6181029,-74.0369047,Bay Parkway & 66 Street,4674.303095933713,5.0,2.0,0.0,25.0,6.0,1.0,13.0,11209
Co-op,350000.0,1,1,700.0,Bronx County,The Bronx,North Riverdale,5800,40.9073699,-73.9065578,Bedford park Blvd.,4181.290145721875,0.0,9.0,0.0,2.0,1.0,9.0,4.0,10471
Condo,599000.0,2,2,974.0,Queens County,Queens,Rego Park,92-29,40.7324713,-73.8670804,67th Avenue,1313.0868510200105,1.0,7.0,0.0,19.0,4.0,20.0,30.0,11374
